date,value
5/23/2006,4792620000000
5/22/2006,4791980000000
5/19/2006,4791850000000
5/18/2006,4791540000000
5/17/2006,4786590000000
5/16/2006,4786390000000
5/15/2006,4785960000000
5/12/2006,4813480000000
5/11/2006,4813460000000
5/10/2006,4818670000000
5/9/2006,4818710000000
5/8/2006,4818420000000
5/5/2006,4818420000000
5/4/2006,4818380000000
5/3/2006,4827670000000
5/2/2006,4827400000000
5/1/2006,4826900000000
4/28/2006,4819950000000
4/27/2006,4808980000000
4/26/2006,4830490000000
4/25/2006,4830060000000
4/24/2006,4828670000000
4/21/2006,4828600000000
4/20/2006,4828400000000
4/19/2006,4854630000000
4/18/2006,4854210000000
4/17/2006,4854180000000
4/14/2006,4904210000000
4/13/2006,4904230000000
4/12/2006,4903910000000
4/11/2006,4903800000000
4/10/2006,4903620000000
4/7/2006,4903630000000
4/6/2006,4895390000000
4/5/2006,4891940000000
4/4/2006,4891630000000
4/3/2006,4890770000000
3/31/2006,4872480000000
3/30/2006,4863090000000
3/29/2006,4862590000000
3/28/2006,4862490000000
3/27/2006,4862290000000
3/24/2006,4862200000000
3/23/2006,4861940000000
3/22/2006,4850190000000
3/21/2006,4849970000000
3/20/2006,4849670000000
3/17/2006,4798790000000
3/16/2006,4803240000000
3/15/2006,4805560000000
3/14/2006,4801430000000
3/13/2006,4810250000000
3/10/2006,4810930000000
3/9/2006,4809040000000
3/8/2006,4807230000000
3/7/2006,4802110000000
3/6/2006,4806340000000
3/3/2006,4799800000000
3/2/2006,4776140000000
3/1/2006,4782690000000
2/28/2006,4771120000000
2/27/2006,4777370000000
2/24/2006,4774540000000
2/23/2006,4778270000000
2/22/2006,4777320000000
2/21/2006,4776810000000
2/17/2006,4778140000000
2/16/2006,4782170000000
2/15/2006,4774860000000
2/14/2006,4745510000000
2/13/2006,4745300000000
2/10/2006,4745430000000
2/9/2006,4745090000000
2/8/2006,4736140000000
2/7/2006,4734800000000
2/6/2006,4734560000000
2/3/2006,4734750000000
2/2/2006,4734860000000
2/1/2006,4722320000000
1/31/2006,4724640000000
1/30/2006,4718580000000
1/27/2006,4718770000000
1/26/2006,4718750000000
1/25/2006,4714530000000
1/24/2006,4714170000000
1/23/2006,4714140000000
1/20/2006,4714510000000
1/19/2006,4714660000000
1/18/2006,4714060000000
1/17/2006,4714120000000
1/13/2006,4705500000000
1/12/2006,4705430000000
1/11/2006,4710220000000
1/10/2006,4710170000000
1/9/2006,4710440000000
1/6/2006,4710730000000
1/5/2006,4710790000000
1/4/2006,4717390000000
1/3/2006,4716790000000
12/30/2005,4714820000000
12/29/2005,4714160000000
12/28/2005,4722780000000
12/27/2005,4721870000000
12/23/2005,4721740000000
12/22/2005,4721740000000
12/21/2005,4729830000000
12/20/2005,4730100000000
12/19/2005,4729590000000
12/16/2005,4729670000000
12/15/2005,4729590000000
12/14/2005,4764350000000
12/13/2005,4762950000000
12/12/2005,4762570000000
12/9/2005,4762580000000
12/8/2005,4762510000000
12/7/2005,4754960000000
12/6/2005,4754600000000
12/5/2005,4754240000000
12/2/2005,4754350000000
12/1/2005,4736200000000
11/30/2005,4709400000000
11/29/2005,4714390000000
11/28/2005,4713770000000
11/25/2005,4713340000000
11/23/2005,4706120000000
11/22/2005,4705950000000
11/21/2005,4705450000000
11/18/2005,4705320000000
11/17/2005,4705410000000
11/16/2005,4689820000000
11/15/2005,4688460000000
11/14/2005,4683690000000
11/10/2005,4683250000000
11/9/2005,4669340000000
11/8/2005,4664900000000
11/7/2005,4664480000000
11/4/2005,4664020000000
11/3/2005,4663910000000
11/2/2005,4649870000000
11/1/2005,4649010000000
10/31/2005,4650520000000
